Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,City,State,Country,Region,Product_ID,Product_Name,Category,Sub_Category,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority
1c80527d-e1b6-4755-82ed-a2d24bc18668,21-08-2024,05/09/2024,46180e27-c11b-487e-a602-de81a9bcd3ff,Kelly Poole,Home Office,North Jeffrey,CT,Guadeloupe,South,0d91cb53-1b1c-4c4d-814c-c1f4c4790acb,Headphones,Clothing,Headphones,1284.43,6,0.16,126.34,80.4,Low
4fcb725d-1507-4293-b96d-2bdb5065f5ae,03-07-2023,05/07/2023,a0d1d538-b667-4a75-99f9-c74b867a27c4,NATALIE GREER,Corporate,South Sonia,MS,Belgium,West,9cc46b0d-0f7c-4158-b329-9654f0ea552c,Sofa,Furniture,Sofa,524.23,1,0.13,483.66,48.93,Medium
e61c9f31-7041-482f-9be0-b127eb4dc0b4,16-08-2025,19/08/2025,7f4e230d-f211-4103-9388-a04306643081,Jacob Moore,Home Office,Briantown,SC,Solomon Islands,West,512139fd-b0f1-4dde-b315-c75dc88298ad,Mobile,Clothing,Mobile,86.13,7,0.42,493.79,38.11,High
90ea9ab3-1e4f-4ca6-a6c3-41b9f3885a29,16-10-2024,23/10/2024,593214e6-1fdf-42ba-bade-2fca0773ede0,Harry Jimenez,Home Office,Bakerview,IA,South Georgia and the South Sandwich Islands,East,789d72d6-c85d-413b-8e42-5ab9b63eb95d,Sofa,Electronics,Sofa,939.52,2,0.29,150.67,81.59,Low
6ebb3ab7-590e-4331-8762-1cdcf0001b3f,07-05-2023,16/05/2023,4a1bebbe-eb47-49e3-962a-7b792b20e97a,Phillip Nelson,Corporate,Port Jim,MT,Botswana,North,4c44a90c-7ae2-4483-a173-c78b27473363,Sofa,Clothing,Sofa,1411.38,5,0.22,479.81,14.91,High
0f57606a-5201-4e45-91e8-00ccdbe784ae,04-10-2023,06/10/2023,b108ae25-34aa-479f-b9f5-b6478dc46ca6,Morgan Lopez,Consumer,Robertberg,WI,Mali,South,0201529f-7c87-413c-b589-dee2c9b93f91,Headphones,Electronics,Headphones,1877.56,6,0.37,368.62,36.64,High
16743b6e-1d08-4525-8e25-868f894ab05d,09-05-2024,12/05/2024,4698e8c3-3829-403f-b72b-8e97f5a7e4cf,Jennifer Olsen,Consumer,South Leah,WV,Benin,North,98038d56-cdc2-40ac-907f-f700a87f3631,Mobile,Electronics,Mobile,1778.64,1,0.04,150.29,74.55,High
f1238769-059e-49a6-9b5f-50fccd4d9014,23-04-2025,07/05/2025,ddb24244-79ea-4db3-9247-061005dc8067,Edward Lewis,Home Office,South William,AR,Macao,West,dfce546e-9c61-4ff4-a06d-bb201193e76e,Headphones,Furniture,Headphones,1695.9,2,0.38,92.84,98.47,High
ddb53de6-3fd7-4415-a00c-a5439c91026d,27-12-2024,28/12/2024,5e863628-51f1-432a-b497-c9fcc5bcf9bf,Justin Bishop,Corporate,Patriciaview,NV,Philippines,North,fe138bcf-4408-4060-b077-8cf2fb33bbfe,Headphones,Electronics,Headphones,940.48,9,0.13,264.12,54.83,Medium
ea0cf728-0d51-4eae-a689-8df2c9ff46ec,05-06-2023,05/06/2023,52397b81-e452-4458-b2c6-0e8dee9df74f,Maria Johnston,Corporate,Petersonbury,SD,India,West,7d1cd30a-f016-4b76-808b-493806f97d21,Shirt,Furniture,Shirt,1437.94,2,0.1,9.26,47.53,High
17164fb9-f1e7-4f36-bd85-5706859f7b87,03-01-2023,13/01/2023,f926081b-af29-45cf-b125-869857cdd61c,Dylan Gordon,Corporate,South Sean,ND,Bermuda,East,c11c16d8-0d7e-43ff-ae0d-32b84b090fe4,Sofa,Furniture,Sofa,1020.19,5,0.05,490.61,22.97,High
28a365b0-3bbc-4df5-bf07-71a2b54ac916,20-06-2025,29/06/2025,42704e85-bdd9-4f96-a027-acaedc5c3483,George Woodard,Home Office,North Melissamouth,NJ,Honduras,South,9d45dea7-6365-4d75-a676-b8cc43ff8af0,Headphones,Electronics,Headphones,294.33,6,0.14,445.56,25.22,High
cca49596-7b0e-442a-af71-67c48662d51d,26-06-2024,27/06/2024,3bfd617d-713e-488a-a673-18754a37136d,Karen Long,Corporate,Danielside,PA,Iceland,East,cbda769e-01ae-4ea3-9ebf-b58533fcc2f6,Mobile,Clothing,Mobile,471.05,10,0.4,13.23,15.29,Medium
d23f3547-c36a-4f6a-9757-b257c5d894a2,28-03-2023,10/04/2023,d7ddce19-f1c2-4958-9d24-c819b77a57bb,Donna Simpson,Consumer,New Laura,AZ,Jersey,West,a2a0282c-b0fd-49e7-a05e-6b22fc421fe1,Laptop,Electronics,Laptop,398.84,9,0.13,52.1,76.97,Low
68e05db2-7460-48b8-ab50-beec83221069,26-11-2022,11/12/2022,1c933047-f831-4bcc-a8ab-1f689c21c9f7,Mary Stevens,Consumer,Hughesport,MN,Libyan Arab Jamahiriya,West,16b06e35-4485-49d7-a633-fcefe39c33c8,Sofa,Clothing,Sofa,1986.31,8,0.06,184.16,93.31,Low
d1dd7afe-05e4-434d-8263-2b56b349d9c6,06-11-2024,21/11/2024,5ac9f843-c15c-4a26-bd9e-16f7f5507db2,John Hoffman,Corporate,Rickyport,VT,Aruba,South,fc516a77-6a40-4da1-9924-7f9b6b247c5e,Sofa,Furniture,Sofa,1644.78,2,0.15,298.92,74.47,High
